,location_id,lat,lng,competitor_count_1500m,nearest_competitor_m,poi_count_1500m,nearest_poi_m,poi_restaurant_count_1500m,nearest_poi_restaurant_m,poi_bank_count_1500m,nearest_poi_bank_m,poi_school_count_1500m,nearest_poi_school_m,poi_bus_stop_count_1500m,nearest_poi_bus_stop_m,poi_park_count_1500m,nearest_poi_park_m,poi_pharmacy_count_1500m,nearest_poi_pharmacy_m,poi_hospital_count_1500m,nearest_poi_hospital_m,poi_mall_count_1500m,nearest_poi_mall_m,building_count_1500m,residential_ratio_1500m,population_1500m,signals_1500m,unique_users_1500m
0,861e23247ffffff,50.41570087318157,19.152815094381737,0,10279.029690442954,0,2542.8272742671634,0,5434.237235706141,0,9436.143849047396,0,10507.419780728464,0,2542.8272742671634,0,14002.406015283506,0,9913.268226574713,0,10515.66377271292,0,11351.06452312778,984,0.38414634146341464,1209,993.0,62.0
1,861e2e487ffffff,50.16746135172333,19.394245406561414,0,3473.4775949539435,0,1535.5675764683078,0,18772.064451178932,0,2858.6526866854047,0,1535.5675764683078,0,6364.5732782595005,0,4727.917423119961,0,2973.82321367734,0,2979.1325816590083,0,3153.7075609881044,2111,0.6944576030317385,4058,4451.0,173.0
2,861e2e5b7ffffff,50.308746744662635,19.186739448623072,0,1884.9693056167812,0,1650.417248799506,0,3918.779125518542,0,8370.96906632015,0,1650.417248799506,0,2370.392395608022,0,4296.999669547812,0,2011.3215772061997,0,3586.372301828098,0,4939.483211980535,2790,0.589247311827957,21617,68302.0,1175.0
3,861e05b17ffffff,50.00626005109382,19.444397457975747,0,13924.063257552107,1,1175.6206528800853,0,21924.663659658232,1,1175.6206528800853,0,1589.5781228716262,0,8401.986279012128,0,8947.619819705673,0,7185.149010202537,0,14577.223480870163,0,15237.792742317373,1424,0.5962078651685393,3079,12458.0,310.0
4,861e2e4afffffff,50.20395238559589,19.464339706899693,0,3002.8568306157304,2,747.4576179904045,0,12682.504651494144,0,8026.058914776903,0,6080.822862960606,2,747.4576179904045,0,4837.509512756025,0,1500.1431478759398,0,7822.525206282575,0,7800.42485074295,838,0.60381861575179,1915,2931.0,73.0
5,861e2321fffffff,50.3592710682383,18.92559028699316,0,2843.790954717717,4,687.9858303478023,0,4499.243932737925,1,1277.3188787835008,1,1190.9626154028422,1,687.9858303478023,1,1323.0135481221885,0,3088.4179542761462,0,1783.4361421616427,0,8122.617025346134,3498,0.565180102915952,25405,128703.0,1698.0
6,861e2e45fffffff,50.242070972533504,19.778526663057047,0,6071.0712644374225,1,261.44971228652605,1,261.44971228652605,0,18987.380872454243,0,2958.626354818487,0,8143.853630029651,0,14058.586889895014,0,16245.68621333937,0,20087.76623058907,0,22485.375389930115,444,0.527027027027027,592,326.0,40.0
7,861e2339fffffff,50.35578610795392,18.681503508205612,0,5846.994894935661,0,4139.367186217988,0,4271.798675827151,0,7844.242370663446,0,4672.005186802384,0,5951.907583555678,0,4139.367186217988,0,5714.567213606604,0,7329.231590326534,0,14080.075291777397,445,0.5191011235955056,823,1389.0,44.0
8,861e2e58fffffff,50.27470830407658,19.36068778049813,0,8033.597059963713,0,6691.1762174816695,0,13023.498759002508,0,10237.3167713207,0,11589.914517502408,0,6691.1762174816695,0,7762.515405579081,0,10042.509050603418,0,10307.24248791582,0,15234.823130523248,284,0.5352112676056338,390,472.0,22.0
9,861e05867ffffff,50.09430710471816,19.254290008342302,0,2309.66357349707,0,5494.060419295244,0,6740.02188174721,0,7571.214861140338,0,11259.523768187993,0,8333.825656108362,0,12978.212052521423,0,5494.060419295244,0,11538.337324024546,0,6972.977091700376,1527,0.6123117223313687,6628,21717.0,230.0
10,861e2e437ffffff,50.31116852292873,19.43086659376066,0,3295.6938507247446,0,9916.802449482733,0,13629.010766863787,0,9916.802449482733,0,9918.843388773232,0,11351.128902267286,0,11581.725961474112,0,12204.656365083847,0,16649.605520412093,0,18858.505167062474,1179,0.48091603053435117,1636,2560.0,137.0
11,861e2e737ffffff,50.31447931741731,19.91939496518445,0,18254.35277004828,0,3717.4370517858383,0,11908.262501067213,0,13997.257135785823,0,12673.49837687899,0,3717.4370517858383,0,6757.732917315056,0,7490.319998841897,0,24626.235553839113,0,25623.120216666575,201,0.4079601990049751,211,112.0,12.0
12,861e05b67ffffff,50.09830364846876,19.74123044642771,1,1356.202003293441,0,1645.4503129541051,0,8000.992851122686,0,13921.077856195834,0,11565.975467532755,0,1645.4503129541051,0,9329.820427022667,0,10598.585383944004,0,12590.365138871515,0,14395.423108884992,432,0.6273148148148148,691,772.0,30.0
13,861e2e4d7ffffff,50.1330239875983,19.5678018104355,0,9555.383414564598,0,3913.7733869497915,0,12299.532630919954,0,11688.232317827456,0,5969.620691909479,0,8516.998940455864,0,3913.7733869497915,0,9468.711497958682,0,9842.71066344639,0,11077.735742137154,1287,0.6425796425796426,1853,2727.0,96.0
14,861e05907ffffff,50.161995900399745,18.90709809380375,2,456.5530877024173,4,579.9437006054314,1,707.1600150317736,1,579.9437006054314,0,6818.711695368264,0,9054.92570728442,1,877.1840907261625,0,7225.782454913774,0,8127.777120081689,1,645.64208593096,3690,0.6940379403794038,17449,42253.0,678.0
15,861e2e567ffffff,50.473697664052715,19.62522464846739,0,7827.313720937788,0,2223.8265501595242,0,5909.448399228416,0,15356.880849001654,0,2223.8265501595242,0,15329.307451600349,0,12269.048808986994,0,20747.566320648595,0,39337.22626832383,0,39848.63534056791,98,0.47959183673469385,115,241.0,16.0
16,861e2e697ffffff,50.00943999487745,19.930869453306507,0,1611.0722559965698,0,1797.8376719444889,0,2844.642107948603,0,5216.901363843823,0,1995.1502399472777,0,4081.1150380519475,0,1797.8376719444889,0,4872.53135418976,0,4969.517781732365,0,2059.269520248701,3383,0.6775051729234407,17414,59694.0,1317.0
17,861e23297ffffff,50.24891625924397,18.71607771253494,0,4199.52007061192,0,3201.5326860488985,0,5937.2962059855745,0,4307.57368685181,0,4286.567417525888,0,3201.5326860488985,0,7527.083808765808,0,4277.164666321397,0,6243.706994206222,0,4314.629388407154,1104,0.5380434782608695,1731,5931.0,276.0
18,861e2e40fffffff,50.27676162084963,19.604761106403988,0,2831.1093646608774,0,2462.784571433043,0,5158.794910538032,0,7829.55906522931,0,3043.1550391997775,0,2462.784571433043,0,16556.46425344825,0,14200.006888815586,0,19903.924341563303,0,20278.19004732039,1087,0.48206071757129715,3044,7413.0,264.0
19,861e0596fffffff,50.201615347336904,19.22056428200392,0,8136.805538784705,0,3146.723530159014,0,6125.768498625963,0,3717.825823131612,0,5218.604144778564,0,3146.723530159014,0,3308.1113149580656,0,10583.51255160199,0,3569.7389653620103,0,14656.021594162281,287,0.003484320557491289,1,1135.0,53.0
20,861e2e79fffffff,50.11711759009044,19.898163036884036,0,3611.1479444678375,0,3296.1545893156035,0,3296.1545893156035,0,4490.9116934681215,0,4381.7647324779255,0,5021.444924745034,0,5766.519561897728,0,3571.2194337315045,0,3899.821782007601,0,6814.450371353715,1857,0.686052773290253,4007,4885.0,176.0
21,861e232d7ffffff,50.252314199234206,18.959815442901707,1,1192.5353099163603,1,1101.2869277416412,0,2612.2259642803706,0,2825.273533939202,0,2147.662966607959,0,3181.7343602361834,1,1101.2869277416412,0,4114.163063051692,0,2241.95919382821,0,7667.595016605239,477,0.519916142557652,7261,17244.0,361.0
22,861e05947ffffff,50.16498287181159,19.15061975466308,0,4916.008859662388,0,3263.528888342992,0,5280.858580758402,0,3263.528888342992,0,7822.070545332382,0,6954.3129952985755,0,7923.1758758114665,0,13125.4548859048,0,9508.986119305908,0,14831.558875618817,592,0.7837837837837838,1286,1677.0,115.0
23,861e2364fffffff,50.14186886616262,18.750550947905303,0,1674.8730752651086,1,1164.9166914242574,0,8910.693402829356,0,6357.367479089414,0,6325.321474280714,1,1164.9166914242574,0,11200.805329310662,0,9050.716183077839,0,15797.608211537035,0,1731.662470286262,1945,0.6642673521850899,4389,9669.0,221.0
24,861e0592fffffff,50.19876924974834,18.97689043962638,0,5278.154363615871,2,1207.4275592691683,0,1680.1606376268312,0,1770.8301412159087,0,6121.417394670998,0,6137.338467934031,0,1871.085650531903,2,1207.4275592691683,0,4096.928808601019,0,6242.228661939527,5669,0.710530957840889,22040,85070.0,871.0
25,861e05817ffffff,50.00105035835695,18.95829753045003,0,3160.6275030104703,1,1188.2850452198363,0,13978.779206106468,0,2720.2961869350156,0,16327.323474066257,1,1188.2850452198363,0,13067.222343747337,0,7633.543404217827,0,12905.297728770443,0,2694.551352668103,2026,0.6436327739387957,4998,10335.0,465.0
26,861e23667ffffff,50.212017600249716,18.646398885376026,0,2407.571740079249,0,1900.9307599767872,0,8996.417354406409,0,2315.8847088863226,0,2199.6421793026198,0,1914.3269869622484,0,8660.118708066388,0,1900.9307599767872,0,8875.574620108251,0,2309.335745184181,1316,0.6208206686930091,2752,12281.0,233.0
27,861e2e517ffffff,50.38177829313906,19.32703133437573,0,10523.865098196036,0,4250.9620689989815,0,4250.9620689989815,0,4944.428574675815,0,13017.138084050825,0,5617.05972702058,0,6820.80127740711,0,8659.858397955448,0,16075.698204059845,0,16550.41248734921,627,0.5039872408293461,873,3007.0,64.0
28,861e05ba7ffffff,49.96966564122551,19.374506901307683,0,14053.316956642222,0,4106.801825985876,0,19722.398796255435,0,5401.825263345078,0,4958.8403555926425,0,13346.656825676639,0,4106.801825985876,0,13373.751961916703,0,19031.01198036178,0,13846.974902208547,576,0.5138888888888888,1103,1397.0,38.0
29,861e2e787ffffff,50.17089048428954,19.881773669837134,0,7312.955563981828,0,2675.462115299245,0,9373.505591680963,0,8438.525092736503,0,7874.659126453646,0,2675.462115299245,0,11828.896970859214,0,9467.384437421286,0,9522.86135568528,0,11699.319562733817,1077,0.6323119777158774,1669,2423.0,87.0
